experiment_uid,material,model_uid,seed,fold,avg_rel_err,95-perc_rel_err,99-perc_rel_err,max_rel_err,start_date,end_date
f1583,A,743a1764,0,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:27:55,2023-11-27 19:27:57
f1583,A,9c18bb80,1,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:27:56,2023-11-27 19:27:57
f1583,A,d5e905a3,2,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:27:56,2023-11-27 19:27:57
f1583,B,fe23c64a,0,0,0.4138665858992804,0.704399787700102,0.7080398970070817,806748.5215016501,2023-11-27 19:27:57,2023-11-27 19:27:57
f1583,B,69856ad6,1,0,0.5276942379778815,1.3247775184724202,1.5350008973309637,457954.116239035,2023-11-27 19:27:57,2023-11-27 19:27:57
f1583,B,2fb08e96,2,0,0.4744551592117725,0.8211837557011702,0.8561804558670674,903043.8965016501,2023-11-27 19:27:57,2023-11-27 19:27:57
b588e,A,8a5a35cd,0,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:30:47,2023-11-27 19:30:49
b588e,A,af23edf6,1,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:30:48,2023-11-27 19:30:49
b588e,A,d5720be2,2,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:30:49,2023-11-27 19:30:49
b588e,B,6100c058,0,0,0.38395467136065636,0.6667345109586801,0.7279827123142232,1154653.14650165,2023-11-27 19:30:49,2023-11-27 19:30:49
b588e,B,4f4be652,1,0,0.4818703599575388,0.8123851559264743,0.8342871876481501,882680.5215016501,2023-11-27 19:30:49,2023-11-27 19:30:49
b588e,B,13223287,2,0,0.49158095413361796,0.7757786212197892,0.8166962542534723,1353619.27150165,2023-11-27 19:30:49,2023-11-27 19:30:49
6af40,A,5be0f615,0,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:31:08,2023-11-27 19:31:10
6af40,A,e184cfd9,1,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:31:10,2023-11-27 19:31:10
6af40,A,18f84134,2,0,1.0,1.0,1.0,215229.21085191,2023-11-27 19:31:10,2023-11-27 19:31:10
6af40,B,61c4184d,0,0,0.3839547085490566,0.6667341880755239,0.7279823050411328,1154653.14650165,2023-11-27 19:31:10,2023-11-27 19:31:10
6af40,B,d7fe96ce,1,0,0.48187040760901445,0.8123849609850697,0.8342868651087353,882680.6465016501,2023-11-27 19:31:10,2023-11-27 19:31:10
6af40,B,70e2ad0b,2,0,0.49158097719447547,0.7757786212197892,0.8166962542534723,1353619.02150165,2023-11-27 19:31:10,2023-11-27 19:31:10
2f422,A,80d1299d,0,0,1.0,1.0,1.0,215229.21085191,2023-11-27 20:00:59,2023-11-27 20:01:02
2f422,A,2c7790da,1,0,1.0,1.0,1.0,215229.21085191,2023-11-27 20:01:01,2023-11-27 20:01:02
2f422,A,35728595,2,0,1.0,1.0,1.0,215229.21085191,2023-11-27 20:01:01,2023-11-27 20:01:02
2f422,B,ab450664,0,0,0.4129293477434862,0.697951901553939,0.6994443215401532,816499.7715016501,2023-11-27 20:01:01,2023-11-27 20:01:02
2f422,B,404562cc,1,0,0.5277804145232665,1.3129013754592056,1.5212386332582786,453849.803739035,2023-11-27 20:01:01,2023-11-27 20:01:02
2f422,B,481dfffa,2,0,0.4738739412857508,0.8185679818227086,0.8519170726008831,907859.0215016501,2023-11-27 20:01:02,2023-11-27 20:01:02
fd0ea,A,d33adc5f,0,0,0.02074778740671721,0.05530554866171987,0.07972142362371756,362569.64275960997,2023-11-27 20:06:14,2023-12-01 20:42:14
fd0ea,A,bcd2ac92,0,1,0.02074778740671721,0.05530554866171987,0.07972142362371756,362569.64275960997,2023-11-27 20:06:14,2023-12-01 20:42:14
fd0ea,A,dbe5de2a,0,2,0.02074778740671721,0.05530554866171987,0.07972142362371756,362569.64275960997,2023-11-27 20:06:14,2023-12-01 20:42:14
fd0ea,A,802277ba,0,3,0.02074778740671721,0.05530554866171987,0.07972142362371756,362569.64275960997,2023-11-27 20:06:14,2023-12-01 20:42:14
fd0ea,A,457ddabb,1,0,0.022393975750522228,0.05577956098556275,0.07867409992389625,878032.9888407602,2023-11-28 00:31:00,2023-12-01 20:42:14
fd0ea,A,f72d455f,1,1,0.022393975750522228,0.05577956098556275,0.07867409992389625,878032.9888407602,2023-11-28 00:31:00,2023-12-01 20:42:14
fd0ea,A,b60e5910,1,2,0.022393975750522228,0.05577956098556275,0.07867409992389625,878032.9888407602,2023-11-28 00:31:00,2023-12-01 20:42:14
fd0ea,A,2bf2a1d0,1,3,0.022393975750522228,0.05577956098556275,0.07867409992389625,878032.9888407602,2023-11-28 00:31:00,2023-12-01 20:42:14
fd0ea,A,ca02247b,2,0,0.0260491195972462,0.06708502844087137,0.08743813693036999,421591.39275960997,2023-11-28 04:57:57,2023-12-01 20:42:14
fd0ea,A,95b11976,2,1,0.0260491195972462,0.06708502844087137,0.08743813693036999,421591.39275960997,2023-11-28 04:57:57,2023-12-01 20:42:14
fd0ea,A,589af8a1,2,2,0.0260491195972462,0.06708502844087137,0.08743813693036999,421591.39275960997,2023-11-28 04:57:57,2023-12-01 20:42:14
fd0ea,A,b2f14736,2,3,0.0260491195972462,0.06708502844087137,0.08743813693036999,421591.39275960997,2023-11-28 04:57:57,2023-12-01 20:42:14
fd0ea,B,b4d2790b,0,0,0.011174283687060528,0.026128921742275355,0.04193029667542829,173881.63011837006,2023-11-28 09:23:47,2023-12-01 20:42:14
fd0ea,B,b4f685fe,0,1,0.011174283687060528,0.026128921742275355,0.04193029667542829,173881.63011837006,2023-11-28 09:23:47,2023-12-01 20:42:14
fd0ea,B,370c1b1b,0,2,0.011174283687060528,0.026128921742275355,0.04193029667542829,173881.63011837006,2023-11-28 09:23:47,2023-12-01 20:42:14
fd0ea,B,f96e2544,0,3,0.011174283687060528,0.026128921742275355,0.04193029667542829,173881.63011837006,2023-11-28 09:23:47,2023-12-01 20:42:14
fd0ea,B,d4c0b308,1,0,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
fd0ea,B,7a2236cb,1,1,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
fd0ea,B,9627b4a1,1,2,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
fd0ea,B,dce949f5,1,3,0.010549490105604227,0.024721008549302308,0.041445898020294705,86875.31149531994,2023-11-28 22:40:45,2023-12-01 20:42:14
