,ASU,KU Leuven,NTUT,Paderborn,PoliTO,Sydney,Tribhuvan,Tsinghua,TUDelft,UTK,XJTU,gmean,std,error
0,59210.45841260333,60804.7109375,33766.393851641486,66174.53125,58359.075049206185,64967.1640625,47069.83203125,42672.04917858665,65155.80124700928,42304.921875,64712.2265625,53799.15494499978,0.208134361597059,0.0071951094976551375
1,6275.723497367107,4784.6611328125,3223.181896165489,6748.95166015625,5274.809026638664,6678.076171875,4514.81884765625,7250.964577022579,6640.464522492996,4439.435546875,6297.03515625,5501.845934811568,0.22501826619176554,0.005981181138440147
2,150973.14231955548,145417.59375,85748.38896989467,162274.96875,151595.62110012065,151837.796875,55494.64453125,134359.2878021257,159338.61228798475,103656.171875,154788.328125,126612.27338496437,0.2650660823841219,0.08293561443208047
3,4008.3088111760744,4784.6611328125,2742.371975183452,4289.587890625,3954.6343004075193,4070.1098632812495,3311.062744140625,4428.17246027978,4231.326369862969,3395.02294921875,4018.259033203125,3888.510355028432,0.14643950473541367,0.010366338371325539
4,119949.97343115669,107472.5859375,60345.91059734578,111190.84375,105559.7013837284,105651.9765625,42741.953125,92536.42483448292,109935.33474367732,77500.140625,106732.109375,90825.62738911317,0.25629572433144854,0.045153177779644296
5,206482.19542563008,194890.8125,110012.55403825705,207026.0,201892.4667877191,199750.1875,94634.71875,173783.46354757203,206847.90991244392,142723.359375,188783.0,169821.39510763975,0.23313846984860467,0.0621203202017129
6,2523.9136268531083,4784.6611328125,2058.312478839967,2517.622802734375,3035.103615229579,2402.645263671875,3362.687744140625,2203.953333570269,2421.621939832487,2504.35205078125,2517.41015625,2681.9376558650374,0.2766745943269795,0.06604954421976637
7,42064.28784837663,42985.16015625,23057.870898026264,43648.6015625,41126.98904988372,43389.01953125,21829.322265625,43007.611050708925,42993.467318104056,29038.1953125,42397.64453125,36673.13012269341,0.22863450995613904,0.010516558270410365
8,201640.53830546167,200715.171875,115597.17473531447,199915.9375,201134.94985535624,196039.0,91327.890625,194477.70706562864,201762.32772460405,146680.40625,191430.296875,171233.59841889667,0.22524326337431036,0.002259723500764121
9,363646.8323978288,360822.96875,205574.55845077452,357862.375,356994.31113180926,354960.65625,161185.40625,337013.8446714591,356496.6419592741,257120.03125,360285.8125,305896.0706016083,0.23043281336107346,0.008669731578957908
10,1289393.006639053,1203357.625,657551.6540232678,1200987.25,1164952.6540664495,1241035.625,584410.0,1180002.8226592208,1148264.1416507391,907551.8125,1278474.625,1045277.3303613809,0.23002385018360283,0.03049125124485082
11,39386.850315424046,42326.15234375,22482.816906762208,41517.3359375,41589.34921971789,41322.58984375,21392.265625,36016.18693492896,41692.74296068845,30576.4609375,38732.4921875,35166.99269733469,0.2158163694881577,0.031118193614500717
12,75068.92254009513,77624.6953125,42663.66097319857,79905.125,78972.97189217967,79555.25,38306.86328125,67465.50830853944,79389.22676045638,56020.32421875,77160.734375,66403.51979906968,0.2274072214069975,0.029504497103825227
13,266799.75684596726,259482.953125,149354.32283614163,267260.03125,263820.4516414459,263871.4375,148213.421875,264811.22144945944,268103.5299980958,208857.34375,254749.546875,232577.1037055802,0.19798088096256203,0.004227588692333807
14,938234.3353147262,877433.6875,491874.5496338602,892177.0,848468.7795030117,880490.625,485451.3125,877256.1865293742,874608.1128941334,632965.5,910732.0625,771880.0356813939,0.21405864630772514,0.005918644880517235
15,7808.951559671853,5185.13720703125,4409.430959724163,6579.5419921875,9222.544468404089,6757.0205078125,7425.732421875,6571.159776603668,6700.556750545999,7804.14990234375,6422.29248046875,6689.100711616445,0.1907512784808725,0.030168009683747832
16,5491.478780209389,4784.6611328125,4376.351247766948,4610.84619140625,6792.446405998345,4716.14599609375,4305.26904296875,4524.602290231395,4716.623424046024,5740.23974609375,4762.50341796875,4938.994538706565,0.14897204355561325,0.06988277103608376
17,74730.53316878605,82211.6328125,42812.59360424803,79707.4609375,73562.03266678349,79573.7734375,39620.7578125,74618.43084507334,80833.57928812588,56483.96484375,73849.9921875,67010.36571395975,0.22271008842242532,0.036328495868513104
18,268181.8634866187,275798.6875,152459.4815994888,281563.65625,251321.2674785707,274973.40625,135629.328125,253136.56320664877,273019.67258359096,197238.375,281110.5,233787.95650082178,0.22203081391232593,0.01997705060656572
19,25483.312624418984,25766.59765625,18197.681712379264,28207.712890625,27418.42614357497,27378.181640625,9448.013671875,27569.916414210616,28642.231158069495,22133.345703125,27610.65234375,23403.31207867702,0.23981585918374912,0.013383065783147723
20,52947.27222351872,58593.890625,29890.98455388228,57210.984375,50588.68481514747,57467.875,23484.962890625,56005.37883254469,58744.29873357169,41621.21484375,54847.5859375,47410.815740898666,0.24863823918345032,0.065157462409049
21,363468.69337493856,427965.84375,238548.89975746983,406186.9375,324296.21058586176,398288.625,206079.796875,375500.5219730733,396627.1872668743,261499.640625,417362.9375,337734.7116228217,0.22446869344152698,0.026707826728559547
22,55893.803862602785,37234.0625,38324.362156189534,60067.85546875,48437.11114562988,72147.296875,53817.51171875,51211.548862191645,51056.13424934232,63822.4765625,55340.0546875,52482.63712191343,0.19082764964951263,0.012994966745369641
23,182406.6319679988,140318.375,132191.75280420028,210634.625,176063.0137817383,217611.890625,133307.578125,248289.94640855037,186130.9651613868,176382.1875,191845.515625,178024.5561710067,0.20067448786932893,0.06366511879035015
24,320852.7415796661,258377.078125,300856.27833815065,404128.65625,348399.4078125,373293.9375,248973.578125,463176.9641447608,360126.5035853811,526419.4375,361204.75,352223.93231198774,0.22920054662843212,0.08498113940256376
25,1808123.2330216244,2058719.375,1407618.9548875552,2388523.25,2327028.026640625,2122657.0,1088720.125,1912161.6043126169,2272945.9392393967,1384517.125,2068895.125,1843929.699313836,0.2262914611499594,0.09531377520545964
26,263197.80544541805,182912.75,219055.4324516149,289589.1875,251447.5578515625,293167.03125,187912.125,294725.2712310978,257695.26966562803,236533.46875,263420.84375,246059.7585195799,0.15721289544444964,0.1044836170635595
27,474722.4799452591,365518.40625,398793.2755546044,533701.25,489544.769375,533824.1875,277722.0625,546216.2971667417,492481.5733824684,655210.0625,501567.75,468191.7125863022,0.21105093510525147,0.10888547335386745
28,837499.4378821369,683993.875,750875.6884195514,966231.25,931699.7465625,964107.625,607722.875,1010395.8984490432,908996.6565910996,1024586.4375,937248.5625,863927.4822529965,0.15753824400267688,0.09000586543933335
29,35694.94959966904,22872.75,25605.30250559718,31368.740234375,29591.446784973145,41796.671875,27060.046875,31221.469512127365,28262.830985248005,41762.2421875,32858.109375,31126.830907826123,0.19316548088971516,0.03569208245257413
30,64266.483096115066,41665.30859375,44701.86430014593,58419.7109375,53925.48170989991,69480.9375,39414.265625,55304.099864685646,52595.08346726975,67938.8359375,58153.00390625,54204.06067426377,0.18321751896173993,0.00719192524958867
31,111593.50297010563,68518.0859375,76239.3264448607,107920.734375,97110.77301818848,118445.671875,79070.4140625,103042.16809537636,96516.48088352547,103789.421875,100673.234375,95383.62935153216,0.1620074368590611,0.018919948072872894
32,209347.47783940888,129393.8984375,147424.34299543887,205228.6875,183831.80991333007,215026.8125,144367.65625,227932.31782135053,185164.44706114367,166939.984375,190207.953125,179590.78495968395,0.17500506966644702,0.008631402930078129
33,372122.4310854709,250093.03125,306595.98763044376,381803.40625,351944.8986621094,405788.78125,236949.375,374862.0401236556,355073.3465717584,322738.59375,362236.1875,333821.4239182493,0.15996417872926885,0.03144894601356167
34,670301.9516268647,518482.78125,513003.56287431606,685243.5,663478.8415185547,747064.9375,387147.90625,701346.4504625209,658815.2062900513,677244.4375,681775.0625,617772.6241819444,0.17114009263169944,0.026686808332388793
35,1229200.9242139824,931997.0,951500.7321807091,1290006.75,1283886.8890625,1338655.75,802272.875,1371359.6663183167,1253473.5183494035,1187872.625,1279991.0,1158971.3269938817,0.1612309432440973,0.025080413417162887
36,2126797.50561976,1781021.375,1487160.340763644,2392823.25,2355572.294082031,2132972.5,1401262.25,2228599.1598587995,2308082.2552831327,1710643.625,2253900.75,1984699.5074705053,0.17719343145617755,0.03399948842615153
37,52899.63047423752,26997.283203125,35882.25561448681,44667.5078125,44744.8560333252,52891.84375,31008.796875,50476.8362339207,42227.025209372965,50301.5546875,49454.921875,42834.533339211215,0.20393428639400768,0.019273392565947796
38,92226.93653493875,48880.08203125,64549.810881481295,82230.0390625,78986.1865234375,89752.3515625,56108.12109375,82044.43168953496,76348.78943083448,80681.515625,85009.0859375,74779.81967346248,0.1812935071545241,0.019426938668653724
39,169019.86973015047,91030.234375,116426.84210975425,155292.21875,144806.27119628908,159718.1875,124812.2890625,158698.65935808088,143266.21981909242,139035.609375,151953.625,139382.17175139638,0.16076266226751762,0.006953699158278955
40,1009465.8617100792,668644.0625,675631.770209265,953369.125,937286.0166796875,1069146.5,555264.0,961094.3235956931,946973.1108113133,812654.8125,950154.1875,851221.8703228582,0.19010844208128752,0.004627902806598426
41,39800.82968484024,17511.859375,24776.468226706304,34520.625,36763.66997741699,38067.859375,32811.88671875,35565.54381645252,34261.34436453117,45580.00390625,36607.765625,33290.56195768563,0.2186534015797494,0.013763503555583196
42,71045.4845077251,32245.837890625,49321.82461471441,63436.375,64056.00290130615,67139.4921875,42888.8125,73164.19915137958,60596.421972144446,71157.171875,67573.40625,58638.47872984017,0.21854975022603618,0.01902039993544442
43,127375.45357813242,62683.9609375,87126.64170133142,118340.0234375,114296.83598144531,120639.6953125,93424.4375,125387.38429934692,111223.57274280132,108777.140625,119395.5234375,106113.70136652853,0.18102362381323192,0.007077541961354078
44,234427.76099425828,133678.203125,164316.81951200243,216464.9375,205948.44859130855,211423.515625,172737.359375,218266.76566363813,205079.93539924244,205087.671875,215584.21875,196208.8541602225,0.1481074886412597,0.005023490262309849
45,416267.6575034235,238811.34375,305992.26615260495,385397.625,366754.5743798828,410599.0,239542.421875,387551.0974268714,373125.17331662134,277306.8125,382777.5625,337591.9921839207,0.19283564552900823,0.00492864303804689
46,770823.2922992776,457599.65625,518175.55700798234,702840.25,674444.3722998047,819137.75,405223.4375,623206.6108298852,704697.2990607987,528549.1875,699500.1875,613926.4257311908,0.21156093517341415,0.002451926636940224
47,1355846.3538595904,807572.6875,860095.7910985104,1270862.5,1229449.5687304689,1410825.375,701282.5,1152407.3119629128,1314874.0395974827,969206.625,1189791.25,1088586.359932063,0.21636915357522976,0.023497920886994574
48,18503.99871640178,5109.36328125,9899.29840008331,16990.990234375,18265.271262664795,16150.8564453125,13375.6357421875,14753.133610739278,17638.76232649659,23302.86328125,15853.6181640625,14516.501692414304,0.3101080404062784,0.023068363333018035
49,31638.29634388632,13731.087890625,20031.563294050902,30489.1640625,32889.17574264526,29741.9296875,32159.951171875,32714.226975656326,31347.793525573183,36220.5,30209.2265625,28311.27432873894,0.22219652441447849,0.007298516337954621
50,56749.01437492081,22102.21484375,39519.63829005625,54346.64453125,57241.15847824097,54985.09765625,49791.90625,57156.22675196236,54613.7538473297,55916.3125,55359.21484375,49189.392084926425,0.2124578037080629,0.0191569966727778
51,105503.10156074689,47041.14453125,79498.27212922157,99792.953125,100772.0576611328,101659.640625,69802.359375,112736.4428596762,98373.19496948781,89103.0859375,101418.796875,89134.64207581963,0.2088994130035596,0.013538983295194625
52,631515.7146526447,348301.21875,440226.31627961405,569931.8125,541746.9499462891,613790.75,309715.875,561847.5141599692,581994.0567003961,423785.34375,575585.1875,496635.03533931315,0.21600691150214987,0.0003594933614452597
53,1121337.1328881653,603579.6875,692616.4481731253,1007710.6875,956385.811052246,1126097.625,568966.75,911061.168004136,1061632.4840339664,751658.5,1024501.75,869806.757660573,0.22905180627807104,0.03027987068101487
54,10083.475738252027,4784.6611328125,6655.3729792611775,9794.732421875,8999.92173095703,7994.080078125,9019.4931640625,8451.838914432697,9715.763220311363,12981.8515625,8344.76171875,8563.19557148592,0.23489714840219245,0.0057549491903824326
55,16279.777972705739,4784.6611328125,12095.893084093952,16982.517578125,16495.716256484986,12567.1787109375,9722.296875,14818.835417421138,16893.101445552016,20248.623046875,14328.220703125,13320.2293924632,0.2983897890212948,0.002188542024031242
56,26795.32998269626,9065.24609375,21145.83013523281,29506.78515625,30156.706668777464,25942.98046875,20799.66015625,22780.561684392815,29631.651400228897,32221.955078125,26641.7578125,23863.52427240793,0.25910629703924926,0.02234087749859165
